country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Georgia,5.666,4.999,4.07,4.18,4.07,5.831,6.664,5.748,6.957,8.666,9.166,9.875,9.375,8.125,6.375,5.0,4.75,5.75,6.875,7.0,8.0,7.625,6.625
Bosnia and Herzegovina,4.333,5.499,4.73,5.39,6.38,8.498,8.665,8.749,9.124,8.416,7.833,7.5,7.5,7.125,6.5,6.625,7.125,6.875,8.0,9.125,9.75,10.0,11.0
Lithuania,3.998,4.165,3.52,3.85,4.84,7.999,9.666,8.416,7.708,6.875,6.5,5.25,4.5,4.625,4.125,5.375,6.75,7.875,8.75,10.0,10.0,8.5,8.25
Iceland,3.498,3.332,3.19,3.19,3.3,5.999,6.665,5.415,4.957,5.332,5.416,6.75,8.0,8.75,8.375,8.25,7.25,5.375,4.875,5.375,7.25,9.583,12.333
North Macedonia,3.497,4.83,2.97,3.52,3.85,6.331,5.165,5.332,5.207,5.666,5.25,5.25,5.875,6.0,5.625,7.5,8.0,7.375,7.625,7.0,5.5,6.0,6.166
Belarus,3.416,3.582,2.695,2.915,3.08,5.332,8.666,11.541,16.083,18.208,20.875,18.625,20.75,20.0,19.875,18.625,21.875,18.875,15.25,12.5,9.875,6.625,5.5
Republic of Ireland,3.331,3.164,2.75,2.86,4.29,7.332,9.499,9.541,8.708,7.375,7.375,5.125,5.75,5.45,6.575,6.7,7.45,6.7,7.875,8.125,10.375,10.875,13.25
Malta,2.998,3.331,1.98,1.76,1.1,0.832,0.499,0.916,2.416,3.083,3.958,4.833,4.208,3.583,4.0,4.5,5.125,5.75,6.375,7.0,8.25,8.25,8.5
Armenia,2.165,2.831,1.98,1.98,2.31,3.665,2.999,2.999,2.583,2.208,1.75,2.875,2.75,4.125,5.125,4.875,5.25,7.625,7.375,8.125,9.875,10.625,12.0
Wales,2.165,2.332,1.21,1.54,1.32,2.331,2.331,2.581,2.79,2.749,2.583,3.0,2.875,3.5,3.875,3.875,4.125,5.0,5.0,5.5,6.166,5.791,6.791
Liechtenstein,2.0,2.0,2.64,2.97,3.96,5.5,5.5,4.5,4.0,4.0,3.5,4.5,6.0,10.5,11.0,13.0,13.5,13.5,9.0,6.5,11.0,10.0,8.0
Albania,1.831,1.831,1.76,2.42,2.53,3.666,3.999,3.999,3.874,3.916,4.166,5.5,5.375,6.625,6.625,8.5,7.5,7.375,7.25,8.0,6.25,7.375,7.875
Estonia,1.665,1.665,1.65,1.76,2.42,4.332,4.332,4.374,3.791,2.666,2.208,2.875,3.5,4.25,5.25,5.5,5.0,4.375,4.75,7.041,7.582,7.207,7.957
Northern Ireland,1.498,1.665,1.43,1.54,1.43,2.332,2.165,1.624,2.249,2.583,3.083,3.625,4.875,4.5,4.5,4.25,3.875,4.875,6.958,8.083,8.583,9.208,7.833
Luxembourg,1.332,1.498,1.1,1.21,1.1,1.498,1.332,1.249,1.374,2.333,3.375,4.875,5.125,5.25,4.875,4.375,5.5,8.0,8.25,8.75,9.0,8.625,6.875
Faroe Islands,1.165,0.832,0.66,1.1,1.1,1.832,2.165,1.832,1.416,1.416,1.583,2.125,3.5,3.625,3.5,3.75,4.0,3.75,6.125,7.25,8.75,10.375,10.75
Azerbaijan,1.165,1.165,0.88,1.32,2.09,3.832,4.498,5.498,6.165,6.207,8.541,10.375,12.5,14.875,17.75,19.125,19.0,18.75,16.875,17.0,16.625,20.125,19.625
Kazakhstan,0.5,0.666,0.44,1.1,1.54,2.582,3.249,4.499,4.374,5.333,5.958,8.25,10.375,14.125,15.25,18.125,19.25,19.25,15.625,15.75,12.625,11.5,10.625
Andorra,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,0.5,0.833,0.833,0.999,1.165,1.331,1.831,2.831,3.331,4.665,5.165,5.998,5.497999999999999
San Marino,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.75,0.916,0.916,0.666,0.999,0.499,0.333,0.333,0.499,0.666,0.666,1.166,1.332,1.999,1.832,2.498
Montenegro,,,,,,0.5,1.0,2.125,3.875,4.375,5.25,6.0,5.625,4.875,5.25,5.0,4.125,4.375,5.0,4.875,4.75,5.708,7.208
Gibraltar,,,,,,,,,,,,,0.25,1.0,2.5,3.0,4.0,4.75,5.666,5.416,5.791,4.957,5.457
Kosovo,,,,,,,,,,,,,,,,0.0,2.5,4.0,5.833,8.166,11.041,11.541,12.041
