Name,Link
Alexis Sánchez,https://fbref.com/en/players/2c0f8e9e/Alexis-Sanchez
Marko Arnautović,https://fbref.com/en/players/00459419/Marko-Arnautovic
Emil Audero,https://fbref.com/en/players/649b01d8/Emil-Audero
Davy Klaassen,https://fbref.com/en/players/15fd5593/Davy-Klaassen
Juan Cuadrado,https://fbref.com/en/players/0ab1f153/Juan-Cuadrado
Tajon Buchanan,https://fbref.com/en/players/3aca6420/Tajon-Buchanan
Stefano Sensi,https://fbref.com/en/players/b70bde8f/Stefano-Sensi
Raffaele Di Gennaro,https://fbref.com/en/players/7a4050d5/Raffaele-Di-Gennaro
Ebenezer Akinsanmiro,https://fbref.com/en/players/3ad34015/Ebenezer-Akinsanmiro
Lucien Agoume,https://fbref.com/en/players/8bc8829a/Lucien-Agoume
Alessandro Calligaris,https://fbref.com/en/players/2bd46514/Alessandro-Calligaris
Joaquín Correa,https://fbref.com/en/players/45b9b619/Joaquin-Correa
Tomasso Guercio,https://fbref.com/en/players/fa502d6d/Tomasso-Guercio
Issiaka Kamate,https://fbref.com/en/players/9181fd45/Issiaka-Kamate
Matteo Motta,https://fbref.com/en/players/580b2e2d/Matteo-Motta
Amadou Sarr,https://fbref.com/en/players/68b11ba1/Amadou-Sarr
Giacomo Stabile,https://fbref.com/en/players/c5ad783c/Giacomo-Stabile
Aleksandar Stanković,https://fbref.com/en/players/22cdb8a6/Aleksandar-Stankovic
Rodri,https://fbref.com/en/players/6434f10d/Rodri
Phil Foden,https://fbref.com/en/players/ed1e53f3/Phil-Foden
Ederson,https://fbref.com/en/players/3bb7b8b4/Ederson
Julián Álvarez,https://fbref.com/en/players/15ab5a2b/Julian-Alvarez
Kyle Walker,https://fbref.com/en/players/86dd77d1/Kyle-Walker
Bernardo Silva,https://fbref.com/en/players/3eb22ec9/Bernardo-Silva
Erling Haaland,https://fbref.com/en/players/1f44ac21/Erling-Haaland
Rúben Dias,https://fbref.com/en/players/31c69ef1/Ruben-Dias
Manuel Akanji,https://fbref.com/en/players/89ac64a6/Manuel-Akanji
Joško Gvardiol,https://fbref.com/en/players/5ad50391/Josko-Gvardiol
Nathan Aké,https://fbref.com/en/players/eaeca114/Nathan-Ake
Jeremy Doku,https://fbref.com/en/players/fffea3e5/Jeremy-Doku
Mateo Kovačić,https://fbref.com/en/players/79c0821a/Mateo-Kovacic
Kevin De Bruyne,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne
John Stones,https://fbref.com/en/players/5eecec3d/John-Stones
Jack Grealish,https://fbref.com/en/players/b0b4fd3e/Jack-Grealish
Rico Lewis,https://fbref.com/en/players/b57e066e/Rico-Lewis
Matheus Nunes,https://fbref.com/en/players/e6af02e0/Matheus-Nunes
Stefan Ortega,https://fbref.com/en/players/c1242d4e/Stefan-Ortega
Oscar Bobb,https://fbref.com/en/players/eed2427e/Oscar-Bobb
Kalvin Phillips,https://fbref.com/en/players/4f565d77/Kalvin-Phillips
Sergio Gómez,https://fbref.com/en/players/01e5f06e/Sergio-Gomez
Aymeric Laporte,https://fbref.com/en/players/119b9a8e/Aymeric-Laporte
Cole Palmer,https://fbref.com/en/players/dc7f8a28/Cole-Palmer
James Mcatee,https://fbref.com/en/players/96593e89/James-Mcatee
Scott Carson,https://fbref.com/en/players/3e1550ee/Scott-Carson
Micah Hamilton,https://fbref.com/en/players/0b059e15/Micah-Hamilton
Máximo Perrone,https://fbref.com/en/players/53552942/Maximo-Perrone
Mahamadou Susoho,https://fbref.com/en/players/6cdd9d3d/Mahamadou-Susoho
Jacob Wright,https://fbref.com/en/players/b6db05c3/Jacob-Wright
William Saliba,https://fbref.com/en/players/972aeb2a/William-Saliba
Declan Rice,https://fbref.com/en/players/1c7012b8/Declan-Rice
Martin Ødegaard,https://fbref.com/en/players/79300479/Martin-Odegaard
Ben White,https://fbref.com/en/players/35e413f1/Ben-White
Bukayo Saka,https://fbref.com/en/players/bc7dc64d/Bukayo-Saka
Gabriel Magalhães,https://fbref.com/en/players/67ac5bb8/Gabriel-Magalhaes
David Raya,https://fbref.com/en/players/98ea5115/David-Raya
Kai Havertz,https://fbref.com/en/players/fed7cb61/Kai-Havertz
Gabriel Martinelli,https://fbref.com/en/players/48a5a5d6/Gabriel-Martinelli
Oleksandr Zinchenko,https://fbref.com/en/players/51cf8561/Oleksandr-Zinchenko
Leandro Trossard,https://fbref.com/en/players/38ceb24a/Leandro-Trossard
Gabriel Jesus,https://fbref.com/en/players/b66315ae/Gabriel-Jesus
Jakub Kiwior,https://fbref.com/en/players/dc3e663e/Jakub-Kiwior
Takehiro Tomiyasu,https://fbref.com/en/players/b3af9be1/Takehiro-Tomiyasu
Eddie Nketiah,https://fbref.com/en/players/a53649b7/Eddie-Nketiah
Jorginho,https://fbref.com/en/players/45db685d/Jorginho
Thomas Partey,https://fbref.com/en/players/529f49ab/Thomas-Partey
Aaron Ramsdale,https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale
Emile Smith Rowe,https://fbref.com/en/players/17695062/Emile-Smith-Rowe
Fabio Vieira,https://fbref.com/en/players/6412cc03/Fabio-Vieira
Reiss Nelson,https://fbref.com/en/players/c5bdb6e3/Reiss-Nelson
Jurriën Timber,https://fbref.com/en/players/41034650/Jurrien-Timber
Cédric Soares,https://fbref.com/en/players/839c14e1/Cedric-Soares
Mohamed Elneny,https://fbref.com/en/players/47a34c4f/Mohamed-Elneny
Ethan Nwaneri,https://fbref.com/en/players/7f94982c/Ethan-Nwaneri
Mauro Bandeira,https://fbref.com/en/players/9b67eca8/Mauro-Bandeira
Bradley Ibrahim,https://fbref.com/en/players/aaab4602/Bradley-Ibrahim
Karl Jakob Hein,https://fbref.com/en/players/aa81d8f8/Karl-Jakob-Hein
Myles Lewis-Skelly,https://fbref.com/en/players/5dff6c28/Myles-Lewis-Skelly
Charles Sagoe Jr,https://fbref.com/en/players/187ab096/Charles-Sagoe-Jr
James Sweet,https://fbref.com/en/players/d4632cfa/James-Sweet
Reuell Walters,https://fbref.com/en/players/501ac0cc/Reuell-Walters
Gianluigi Donnarumma,https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma
Kylian Mbappé,https://fbref.com/en/players/42fd9c7f/Kylian-Mbappe
Vitinha,https://fbref.com/en/players/3b029691/Vitinha
Lucas Hernández,https://fbref.com/en/players/c3ee18ef/Lucas-Hernandez
Danilo Pereira,https://fbref.com/en/players/8fd9996f/Danilo-Pereira
Warren Zaire-Emery,https://fbref.com/en/players/6b9960cf/Warren-Zaire-Emery
Manuel Ugarte Ribeiro,https://fbref.com/en/players/c9817014/Manuel-Ugarte-Ribeiro
Achraf Hakimi,https://fbref.com/en/players/e42d61c7/Achraf-Hakimi
Marquinhos,https://fbref.com/en/players/d5f2f82b/Marquinhos
Lee Kang-in,https://fbref.com/en/players/8455ad90/Lee-Kang-in
Bradley Barcola,https://fbref.com/en/players/a0d55a09/Bradley-Barcola
Milan Škriniar,https://fbref.com/en/players/30f5ffa9/Milan-Skriniar
Ousmane Dembélé,https://fbref.com/en/players/b19db005/Ousmane-Dembele
Gonçalo Ramos,https://fbref.com/en/players/f63cda26/Goncalo-Ramos
Fabián Ruiz Peña,https://fbref.com/en/players/c0c7ff58/Fabian-Ruiz-Pena
Randal Kolo Muani,https://fbref.com/en/players/c0b3669f/Randal-Kolo-Muani
Marco Asensio,https://fbref.com/en/players/45af8a54/Marco-Asensio
Carlos Soler,https://fbref.com/en/players/fed17f5a/Carlos-Soler
Lucas Beraldo,https://fbref.com/en/players/b8aedf06/Lucas-Beraldo
Nordi Mukiele,https://fbref.com/en/players/ac73ec79/Nordi-Mukiele
Arnau Tenas,https://fbref.com/en/players/30670b0e/Arnau-Tenas
Yoram Zague,https://fbref.com/en/players/5ce497e2/Yoram-Zague
Keylor Navas,https://fbref.com/en/players/ecada4fc/Keylor-Navas
Senny Mayulu,https://fbref.com/en/players/bac89b96/Senny-Mayulu
Nuno Mendes,https://fbref.com/en/players/f20e4cc9/Nuno-Mendes
Ethan Mbappé,https://fbref.com/en/players/d595de71/Ethan-Mbappe
Cher Ndour,https://fbref.com/en/players/3b88609d/Cher-Ndour
Hugo Ekitike,https://fbref.com/en/players/5b92d896/Hugo-Ekitike
Layvin Kurzawa,https://fbref.com/en/players/41e7ef1c/Layvin-Kurzawa
Kouakou Gadou,https://fbref.com/en/players/26471b4d/Kouakou-Gadou
Ismaël Gharbi,https://fbref.com/en/players/5b3cfa12/Ismael-Gharbi
Alexandre Letellier,https://fbref.com/en/players/96fcd380/Alexandre-Letellier
Louis Mouquet,https://fbref.com/en/players/4eef9e37/Louis-Mouquet
İlkay Gündoğan,https://fbref.com/en/players/819b3158/Ilkay-Gundogan
Jules Koundé,https://fbref.com/en/players/4d1666ff/Jules-Kounde
Robert Lewandowski,https://fbref.com/en/players/8d78e732/Robert-Lewandowski
João Cancelo,https://fbref.com/en/players/bd6351cd/Joao-Cancelo
Marc-André ter Stegen,https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen
Andreas Christensen,https://fbref.com/en/players/1cb49278/Andreas-Christensen
Lamine Yamal,https://fbref.com/en/players/82ec26c1/Lamine-Yamal
Ronald Araújo,https://fbref.com/en/players/2bef2bca/Ronald-Araujo
Frenkie de Jong,https://fbref.com/en/players/1bacc518/Frenkie-de-Jong
Pau Cubarsí,https://fbref.com/en/players/cc7888f3/Pau-Cubarsi
João Félix,https://fbref.com/en/players/8aafd64f/Joao-Felix
Raphinha,https://fbref.com/en/players/3423f250/Raphinha
Pedri,https://fbref.com/en/players/0d9b2d31/Pedri
Alejandro Balde,https://fbref.com/en/players/5ccc9672/Alejandro-Balde
Fermin López,https://fbref.com/en/players/c1fe5f0b/Fermin-Lopez
Iñigo Martínez,https://fbref.com/en/players/3fc45c73/Inigo-Martinez
Ferrán Torres,https://fbref.com/en/players/9e1035f8/Ferran-Torres
Oriol Romeu,https://fbref.com/en/players/4b511457/Oriol-Romeu
Gavi,https://fbref.com/en/players/19cae58d/Gavi
Iñaki Peña,https://fbref.com/en/players/cc1c5035/Inaki-Pena
Sergi Roberto,https://fbref.com/en/players/335fa267/Sergi-Roberto
Héctor Fort,https://fbref.com/en/players/2e31f3a6/Hector-Fort
Marcos Alonso,https://fbref.com/en/players/f4290206/Marcos-Alonso
Vitor Roque,https://fbref.com/en/players/cb00f1e6/Vitor-Roque
Marc Guiu,https://fbref.com/en/players/d3d774cc/Marc-Guiu
Abdessamad Ezzalzouli,https://fbref.com/en/players/bed68338/Abdessamad-Ezzalzouli
Eric García,https://fbref.com/en/players/2bed3eab/Eric-Garcia
Ansu Fati,https://fbref.com/en/players/0ba976e4/Ansu-Fati
Marc Casado,https://fbref.com/en/players/2ef08833/Marc-Casado
Ander Astralaga,https://fbref.com/en/players/031e0283/Ander-Astralaga
Aleix Garrido,https://fbref.com/en/players/5757adc3/Aleix-Garrido
Unai Hernandez,https://fbref.com/en/players/5e39ce2c/Unai-Hernandez
Diego Kochen,https://fbref.com/en/players/497144d6/Diego-Kochen
Mikayil Ngor Faye,https://fbref.com/en/players/b37ae816/Mikayil-Ngor-Faye
Pau Prim,https://fbref.com/en/players/9597e6d4/Pau-Prim
