,Name,Link
79,Pau Cubarsí,https://fbref.com//en/players/cc7888f3/Pau-Cubarsi
80,Robert Lewandowski,https://fbref.com//en/players/8d78e732/Robert-Lewandowski
81,Jules Koundé,https://fbref.com//en/players/4d1666ff/Jules-Kounde
82,Pedri,https://fbref.com//en/players/0d9b2d31/Pedri
83,Lamine Yamal,https://fbref.com//en/players/82ec26c1/Lamine-Yamal
84,Alejandro Balde,https://fbref.com//en/players/5ccc9672/Alejandro-Balde
85,Marc Casado,https://fbref.com//en/players/2ef08833/Marc-Casado
86,Iñaki Peña ,https://fbref.com//en/players/cc1c5035/Inaki-Pena
87,Marc-André ter Stegen,https://fbref.com//en/players/6f51e382/Marc-Andre-ter-Stegen
88,Ferrán Torres,https://fbref.com//en/players/9e1035f8/Ferran-Torres
89,Dani Olmo,https://fbref.com//en/players/ae44e8e2/Dani-Olmo
90,Gerard Martín,https://fbref.com//en/players/b792c59d/Gerard-Martin
91,Pablo Torre,https://fbref.com//en/players/04e531b6/Pablo-Torre
92,Eric García,https://fbref.com//en/players/2bed3eab/Eric-Garcia
93,Fermin López,https://fbref.com//en/players/c1fe5f0b/Fermin-Lopez
94,Marc Bernal,https://fbref.com//en/players/29117812/Marc-Bernal
95,Héctor Fort,https://fbref.com//en/players/2e31f3a6/Hector-Fort
96,Sergi Dominguez,https://fbref.com//en/players/88507352/Sergi-Dominguez
97,Gavi,https://fbref.com//en/players/19cae58d/Gavi
98,Frenkie de Jong,https://fbref.com//en/players/1bacc518/Frenkie-de-Jong
99,Pau Victor Delgado,https://fbref.com//en/players/e6e7c819/Pau-Victor-Delgado
100,Ansu Fati,https://fbref.com//en/players/0ba976e4/Ansu-Fati
101,Andreas Christensen,https://fbref.com//en/players/1cb49278/Andreas-Christensen
102,Ander Astralaga,https://fbref.com//en/players/031e0283/Ander-Astralaga
103,Álvaro Cortés,https://fbref.com//en/players/2c6f1580/Alvaro-Cortes
104,Andres Cuenca,https://fbref.com//en/players/2eefd1b3/Andres-Cuenca
105,Noah Darvich,https://fbref.com//en/players/64f76c60/Noah-Darvich
106,Guillermo Fernandez,https://fbref.com//en/players/4390bf25/Guillermo-Fernandez
107,Toni Fernández,https://fbref.com//en/players/285ff324/Toni-Fernandez
108,Diego Kochen,https://fbref.com//en/players/497144d6/Diego-Kochen
109,Wojciech Szczęsny,https://fbref.com//en/players/01b8a2b2/Wojciech-Szczesny
110,Álex Valle,https://fbref.com//en/players/97022551/Alex-Valle
111,Áron Yaakobishvili,https://fbref.com//en/players/0b8c9180/Aron-Yaakobishvili
112,Giovanni Di Lorenzo,https://fbref.com//en/players/230a2fac/Giovanni-Di-Lorenzo
113,Amir Rrahmani,https://fbref.com//en/players/4b3e1a38/Amir-Rrahmani
114,Andre-Frank Zambo Anguissa,https://fbref.com//en/players/6bb2c084/Andre-Frank-Zambo-Anguissa
115,Alessandro Buongiorno,https://fbref.com//en/players/4ae67f27/Alessandro-Buongiorno
116,Matteo Politano,https://fbref.com//en/players/5e861944/Matteo-Politano
117,Khvicha Kvaratskhelia,https://fbref.com//en/players/dea88efd/Khvicha-Kvaratskhelia
118,Mathías Olivera,https://fbref.com//en/players/41c12f75/Mathias-Olivera
119,Alex Meret,https://fbref.com//en/players/9413b19f/Alex-Meret
120,Romelu Lukaku,https://fbref.com//en/players/5eae500a/Romelu-Lukaku
121,Scott McTominay,https://fbref.com//en/players/d93c2511/Scott-McTominay
122,Stanislav Lobotka,https://fbref.com//en/players/e1cbb531/Stanislav-Lobotka
123,Billy Gilmour,https://fbref.com//en/players/df10e27c/Billy-Gilmour
