Name,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Off,Performance_PKcon,Performance_OG,Err
John McGinn,89.0,2.0,0.0,481.0,4.0,0.0,0.0,4.0
John Mcatee,13.0,1.0,0.0,102.0,51.0,0.0,0.0,0.0
John Stones,12.0,1.0,0.0,79.0,4.0,0.0,1.0,5.0
John-Kymani Gordon,6.0,0.0,0.0,31.0,4.0,0.0,0.0,0.0
Johnny Cardoso,3.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
Jon Aramburu,4.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
Jon Guridi,18.0,0.0,0.0,122.0,10.0,1.0,0.0,0.0
Jon Karrikaburu,14.0,0.0,0.0,68.0,40.0,0.0,0.0,0.0
Jon Magunacelaya,1.0,0.0,0.0,23.0,6.0,0.0,0.0,0.0
Jon Moncayola,22.0,2.0,1.0,122.0,4.0,1.0,0.0,2.0
Jon Pacheco,13.0,0.0,0.0,61.0,2.0,1.0,0.0,3.0
Jonas Föhrenbach,15.0,0.0,0.0,94.0,13.0,1.0,2.0,2.0
Jonas Hofmann,20.0,0.0,0.0,142.0,87.0,2.0,0.0,1.0
Jonas Martin,59.0,0.0,0.0,285.0,5.0,2.0,0.0,4.0
Jonas Wind,13.0,1.0,1.0,124.0,23.0,0.0,0.0,0.0
Jonathan Asp Jensen,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Bamba,21.0,0.0,0.0,188.0,64.0,1.0,0.0,2.0
Jonathan Burkardt,6.0,0.0,0.0,82.0,20.0,0.0,0.0,0.0
Jonathan Clauss,19.0,3.0,1.0,164.0,18.0,3.0,1.0,3.0
Jonathan David,18.0,0.0,0.0,159.0,52.0,0.0,0.0,0.0
Jonathan Gradit,55.0,5.0,1.0,309.0,2.0,3.0,1.0,4.0
Jonathan Ikone,21.0,0.0,0.0,146.0,24.0,0.0,0.0,0.0
Jonathan Norbye,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Tah,36.0,2.0,0.0,213.0,7.0,4.0,0.0,7.0
Jonathan Viera,55.0,5.0,1.0,176.0,53.0,0.0,0.0,0.0
Jonny Castro,63.0,3.0,1.0,313.0,12.0,2.0,1.0,7.0
Jonny Evans,60.0,3.0,0.0,311.0,4.0,2.0,3.0,9.0
Jordan Amavi,54.0,4.0,1.0,275.0,4.0,5.0,0.0,6.0
Jordan Ayew,68.0,5.0,1.0,664.0,51.0,0.0,0.0,1.0
Jordan Beyer,25.0,1.0,0.0,57.0,2.0,1.0,1.0,5.0
Jordan Clark,35.0,0.0,0.0,229.0,20.0,0.0,1.0,1.0
Jordan Ferri,68.0,4.0,2.0,451.0,6.0,4.0,0.0,4.0
Jordan Lotomba,25.0,1.0,1.0,95.0,6.0,2.0,1.0,2.0
Jordan Pefok,18.0,0.0,0.0,256.0,55.0,0.0,0.0,0.0
Jordan Veretout,73.0,3.0,0.0,385.0,7.0,2.0,1.0,9.0
Jordan Zemura,9.0,0.0,0.0,82.0,5.0,1.0,0.0,0.0
Jordi Mboula,15.0,1.0,1.0,147.0,26.0,2.0,0.0,1.0
Jordi Osei-Tutu,15.0,1.0,0.0,42.0,5.0,1.0,0.0,1.0
Jordy Makengo,10.0,0.0,0.0,14.0,1.0,2.0,0.0,0.0
Jorge Cuenca,21.0,2.0,0.0,49.0,0.0,1.0,0.0,0.0
Jorge Herrando,5.0,1.0,0.0,28.0,0.0,0.0,0.0,1.0
Jorge Meré,35.0,3.0,1.0,93.0,1.0,2.0,2.0,2.0
Jorge de Frutos,17.0,1.0,0.0,149.0,28.0,2.0,0.0,0.0
Jorginho,67.0,2.0,0.0,328.0,0.0,2.0,0.0,10.0
Joris Chotard,23.0,1.0,1.0,134.0,6.0,1.0,0.0,2.0
Joseba Zaldúa,55.0,3.0,2.0,270.0,10.0,2.0,2.0,0.0
Joselu,33.0,1.0,0.0,344.0,84.0,0.0,0.0,1.0
Joseph Aidoo,26.0,3.0,2.0,146.0,3.0,4.0,3.0,12.0
Joseph Hodge,8.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
Joseph Nduquidi,5.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0
Joseph Okumu,15.0,1.0,0.0,82.0,0.0,1.0,0.0,3.0
Josh Brownhill,48.0,2.0,1.0,375.0,18.0,1.0,1.0,5.0
Josh Cullen,48.0,1.0,1.0,234.0,1.0,3.0,0.0,3.0
Josh Dasilva,7.0,1.0,0.0,56.0,3.0,0.0,0.0,3.0
Josh Doig,11.0,0.0,0.0,61.0,7.0,2.0,0.0,2.0
Josh Duffus,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Wilson-Esbrand,7.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0
