Name,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Off,Performance_PKcon,Performance_OG,Err
Leandro Trossard,17.0,1.0,1.0,160.0,49.0,1.0,0.0,2.0
Leart Paqarada,44.0,0.0,0.0,215.0,11.0,0.0,0.0,3.0
Lebo Mothiba,7.0,0.0,0.0,150.0,34.0,0.0,0.0,0.0
Lee Jae-sung,16.0,0.0,0.0,154.0,59.0,0.0,0.0,1.0
Lee Kang-in,19.0,3.0,1.0,117.0,6.0,0.0,1.0,0.0
Leigh Kavanagh,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lennard Maloney,18.0,3.0,1.0,103.0,0.0,2.0,1.0,0.0
Leny Yoro,5.0,0.0,0.0,25.0,0.0,1.0,1.0,2.0
Leo Castledine,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Leo Skiri Østigård,35.0,3.0,2.0,129.0,6.0,1.0,0.0,9.0
Leon Bailey,33.0,4.0,1.0,198.0,59.0,1.0,0.0,0.0
Leon Goretzka,28.0,0.0,0.0,274.0,9.0,0.0,1.0,4.0
Leon Opitz,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leonardo Balerdi,26.0,4.0,1.0,121.0,3.0,1.0,1.0,5.0
Leonardo Bittencourt,71.0,3.0,0.0,393.0,37.0,0.0,0.0,2.0
Leonardo Bonucci,88.0,4.0,0.0,345.0,20.0,7.0,0.0,5.0
Leonardo Pavoletti,60.0,1.0,0.0,430.0,79.0,3.0,0.0,0.0
Leonardo Spinazzola,17.0,0.0,0.0,81.0,7.0,2.0,2.0,2.0
Leonidas Stergiou,8.0,0.0,0.0,62.0,0.0,0.0,2.0,0.0
Leroy Sané,26.0,0.0,0.0,172.0,67.0,0.0,0.0,4.0
Lesley Ugochukwu,8.0,1.0,0.0,48.0,0.0,0.0,0.0,0.0
Levi Colwill,12.0,0.0,0.0,53.0,4.0,0.0,1.0,2.0
Levi Laing,5.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
Lewis Cook,49.0,1.0,0.0,316.0,4.0,1.0,0.0,6.0
Lewis Dobbin,5.0,0.0,0.0,25.0,17.0,0.0,0.0,0.0
Lewis Dunk,83.0,10.0,2.0,308.0,5.0,5.0,7.0,14.0
Lewis Ferguson,59.0,2.0,1.0,342.0,14.0,1.0,0.0,1.0
Lewis Hall,11.0,0.0,0.0,7.0,0.0,0.0,2.0,1.0
Lewis Koumas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lewis Miley,3.0,0.0,0.0,5.0,2.0,0.0,0.0,2.0
Lewis O'Brien,34.0,0.0,0.0,162.0,9.0,1.0,0.0,0.0
Lewis Warrington,16.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0
Liam Henderson,44.0,2.0,0.0,296.0,15.0,1.0,0.0,0.0
Liberato Cacace,16.0,0.0,0.0,96.0,8.0,2.0,0.0,1.0
Lilian Brassier,30.0,1.0,1.0,127.0,2.0,2.0,1.0,1.0
Lilian Egloff,13.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
Linton Maina,11.0,0.0,0.0,71.0,30.0,0.0,0.0,0.0
Lloyd Kelly,24.0,0.0,0.0,129.0,1.0,2.0,3.0,6.0
Logan Costa,7.0,0.0,0.0,38.0,1.0,0.0,0.0,1.0
Lorenz Assignon,13.0,1.0,1.0,65.0,2.0,3.0,0.0,2.0
Lorenzo Amatucci,4.0,0.0,0.0,35.0,0.0,2.0,0.0,0.0
Lorenzo Colombo,17.0,1.0,1.0,139.0,27.0,0.0,0.0,0.0
Lorenzo De Silvestri,61.0,5.0,1.0,472.0,25.0,5.0,1.0,5.0
Lorenzo Lucca,18.0,2.0,1.0,136.0,50.0,0.0,0.0,1.0
Lorenzo Pellegrini,58.0,5.0,2.0,316.0,34.0,1.0,0.0,2.0
Lorenzo Pirola,11.0,1.0,0.0,67.0,1.0,2.0,0.0,2.0
Lorenzo Venuti,30.0,1.0,0.0,98.0,5.0,1.0,3.0,5.0
Loris Mouyokolo,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Loum Tchaouna,5.0,0.0,0.0,30.0,15.0,0.0,0.0,1.0
Lovro Majer,31.0,2.0,1.0,124.0,5.0,0.0,0.0,1.0
Lovro Zvonarek,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0
Loïc Bade,26.0,3.0,2.0,85.0,3.0,1.0,0.0,4.0
Loïc Nego,42.0,2.0,0.0,26.0,5.0,0.0,1.0,0.0
Luc De Fougerolles,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Luca Barrington,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luca Caldirola,68.0,8.0,4.0,262.0,2.0,3.0,0.0,1.0
Luca Garritano,40.0,1.0,0.0,176.0,28.0,1.0,0.0,2.0
Luca Kilian,15.0,2.0,2.0,29.0,1.0,3.0,0.0,3.0
Luca Koleosho,1.0,0.0,0.0,29.0,10.0,0.0,0.0,0.0
Luca Mazzitelli,82.0,4.0,3.0,342.0,5.0,4.0,0.0,2.0
Luca Netz,5.0,0.0,0.0,38.0,4.0,2.0,1.0,2.0
Luca Pellegrini,34.0,2.0,1.0,97.0,0.0,1.0,1.0,4.0
Luca Pfeiffer,18.0,3.0,2.0,110.0,12.0,0.0,2.0,0.0
Luca Raimund,8.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
Luca Ranieri,40.0,1.0,1.0,58.0,5.0,1.0,0.0,4.0
Luca Waldschmidt,9.0,0.0,0.0,143.0,27.0,1.0,0.0,2.0
Luca de la Torre,16.0,1.0,1.0,112.0,12.0,2.0,0.0,1.0
Lucas,7.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0
Lucas Beltrán,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Lucas Beraldo,5.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0
Lucas Boyé,40.0,3.0,1.0,381.0,52.0,0.0,0.0,0.0
Lucas Digne,48.0,3.0,0.0,373.0,23.0,3.0,4.0,0.0
Lucas Hernández,35.0,1.0,1.0,146.0,5.0,2.0,0.0,1.0
Lucas Höler,31.0,0.0,0.0,275.0,64.0,1.0,0.0,4.0
Lucas Martínez Quarta,27.0,1.0,0.0,94.0,2.0,1.0,0.0,5.0
Lucas Ocampos,67.0,2.0,1.0,341.0,48.0,2.0,0.0,2.0
Lucas Paquetá,37.0,2.0,1.0,194.0,14.0,1.0,0.0,4.0
Lucas Perrin,15.0,0.0,0.0,107.0,3.0,4.0,1.0,0.0
Lucas Robertone,31.0,1.0,0.0,131.0,7.0,0.0,0.0,1.0
Lucas Torró,60.0,2.0,1.0,370.0,4.0,0.0,1.0,2.0
Lucas Tousart,38.0,2.0,2.0,261.0,6.0,1.0,1.0,2.0
Lucas Vázquez,45.0,1.0,1.0,303.0,38.0,1.0,0.0,3.0
Lucien Agoume,18.0,0.0,0.0,74.0,2.0,1.0,0.0,1.0
Ludovic Ajorque,38.0,1.0,0.0,357.0,61.0,1.0,1.0,1.0
Ludovic Blas,38.0,1.0,1.0,340.0,24.0,1.0,0.0,2.0
Luigi Canotto,23.0,1.0,0.0,78.0,86.0,0.0,0.0,0.0
Luis Alberto,43.0,1.0,0.0,146.0,26.0,0.0,0.0,2.0
Luis Díaz,9.0,0.0,0.0,221.0,46.0,0.0,0.0,1.0
Luis Henrique,0.0,0.0,0.0,9.0,19.0,0.0,0.0,0.0
Luis Javier Suárez,40.0,2.0,0.0,192.0,27.0,0.0,0.0,0.0
Luis Milla,35.0,2.0,1.0,216.0,4.0,1.0,0.0,4.0
Luis Muriel,31.0,4.0,1.0,279.0,80.0,2.0,0.0,1.0
Luis Rioja,24.0,1.0,0.0,144.0,51.0,0.0,0.0,0.0
Luis Sinisterra,9.0,1.0,1.0,88.0,31.0,1.0,0.0,2.0
Luiz Felipe,36.0,4.0,0.0,111.0,4.0,3.0,0.0,6.0
Luiz Henrique,7.0,0.0,0.0,32.0,5.0,0.0,0.0,0.0
Luka Janes,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luka Jović,14.0,1.0,0.0,97.0,46.0,0.0,0.0,0.0
Luka Modrić,71.0,1.0,0.0,384.0,15.0,0.0,0.0,2.0
Lukas Daschner,14.0,0.0,0.0,71.0,10.0,0.0,0.0,0.0
Lukas Klostermann,15.0,0.0,0.0,115.0,5.0,0.0,0.0,5.0
Lukas Kübler,24.0,1.0,0.0,167.0,9.0,3.0,0.0,3.0
Lukas Nmecha,17.0,0.0,0.0,122.0,42.0,0.0,0.0,0.0
Lukas Ullrich,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Berry,61.0,1.0,0.0,384.0,4.0,0.0,0.0,2.0
Luke Chambers,5.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0
Luke Harris,15.0,0.0,0.0,32.0,1.0,0.0,0.0,0.0
Luke Plange,7.0,0.0,0.0,53.0,39.0,0.0,0.0,0.0
Luke Shaw,61.0,1.0,0.0,274.0,12.0,2.0,1.0,10.0
Luke Thomas,15.0,0.0,0.0,58.0,0.0,0.0,1.0,1.0
Lyle Foster,12.0,1.0,0.0,102.0,59.0,0.0,0.0,0.0
Lázaro,1.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0
Léo Baptistão,33.0,1.0,0.0,269.0,60.0,0.0,0.0,0.0
Léo Leroy,29.0,0.0,0.0,170.0,1.0,0.0,0.0,0.0
M'Bala Nzola,23.0,1.0,0.0,237.0,87.0,3.0,0.0,0.0
M'Baye Niang,37.0,4.0,1.0,480.0,96.0,1.0,0.0,0.0
Mackenzie Hunt,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mads Juel Andersen,43.0,4.0,1.0,218.0,9.0,1.0,0.0,7.0
Mads Pedersen,40.0,3.0,1.0,179.0,6.0,2.0,0.0,1.0
Mads Roerslev,4.0,0.0,0.0,51.0,6.0,1.0,0.0,0.0
Maghnes Akliouche,9.0,0.0,0.0,46.0,4.0,0.0,0.0,0.0
Mahdi Camara,26.0,2.0,1.0,175.0,7.0,0.0,0.0,2.0
Mahmoud Dahoud,25.0,2.0,1.0,209.0,4.0,2.0,0.0,1.0
Mahmut Kücüksahin,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Malcolm Ebiowei,7.0,0.0,0.0,24.0,2.0,0.0,0.0,0.0
Malick Fofana,1.0,0.0,0.0,10.0,5.0,0.0,0.0,1.0
Malick Thiaw,24.0,2.0,1.0,114.0,5.0,1.0,4.0,3.0
Malo Gusto,12.0,1.0,0.0,71.0,10.0,3.0,2.0,4.0
Mama Samba Baldé,22.0,3.0,1.0,205.0,68.0,1.0,0.0,1.0
Mamadou Mbaye,4.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0
Mamadou Sakho,31.0,5.0,0.0,174.0,0.0,6.0,0.0,12.0
Mamadou Sylla,30.0,3.0,1.0,159.0,72.0,0.0,0.0,0.0
Mamady Bangré,4.0,0.0,0.0,41.0,3.0,0.0,0.0,0.0
Manor Solomon,3.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0
Manu Koné,39.0,2.0,1.0,189.0,6.0,3.0,0.0,2.0
Manu Morlanes,19.0,2.0,0.0,94.0,1.0,0.0,0.0,0.0
Manu Sánchez,18.0,0.0,0.0,98.0,2.0,1.0,0.0,0.0
Manu Trigueros,62.0,3.0,1.0,389.0,9.0,1.0,0.0,1.0
Manu Vallejo,10.0,0.0,0.0,78.0,33.0,0.0,0.0,0.0
Manuel Akanji,24.0,1.0,1.0,118.0,1.0,1.0,2.0,11.0
Manuel Gulde,31.0,1.0,1.0,156.0,6.0,1.0,0.0,1.0
Manuel Lazzari,44.0,2.0,0.0,148.0,16.0,2.0,2.0,6.0
Manuel Locatelli,58.0,0.0,0.0,306.0,6.0,2.0,1.0,2.0
Manuel Ugarte Ribeiro,24.0,1.0,0.0,144.0,0.0,0.0,0.0,2.0
Marash Kumbulla,25.0,2.0,1.0,103.0,1.0,2.0,1.0,4.0
Marc Bartra,53.0,1.0,0.0,213.0,11.0,8.0,0.0,8.0
Marc Cardona,17.0,0.0,0.0,77.0,81.0,0.0,0.0,0.0
Marc Cucurella,52.0,0.0,0.0,298.0,29.0,2.0,1.0,4.0
Marc Guéhi,25.0,0.0,0.0,58.0,0.0,1.0,1.0,5.0
Marc Roca,37.0,1.0,1.0,285.0,1.0,0.0,0.0,8.0
Marcel Sabitzer,55.0,2.0,0.0,186.0,36.0,0.0,1.0,2.0
Marcin Listkowski,24.0,0.0,0.0,49.0,3.0,0.0,0.0,0.0
Marco Asensio,20.0,1.0,0.0,115.0,34.0,1.0,0.0,1.0
Marco Brescianini,11.0,0.0,0.0,139.0,8.0,0.0,0.0,0.0
Marco Friedl,48.0,2.0,0.0,151.0,3.0,2.0,2.0,4.0
Marco Mancosu,18.0,0.0,0.0,146.0,38.0,0.0,0.0,1.0
Marco Reus,45.0,3.0,1.0,460.0,69.0,1.0,0.0,1.0
Marco Richter,28.0,1.0,1.0,170.0,32.0,0.0,0.0,2.0
Marcos Acuña,58.0,4.0,1.0,295.0,9.0,6.0,0.0,4.0
Marcos Alonso,60.0,2.0,0.0,288.0,20.0,3.0,0.0,1.0
Marcos Llorente,32.0,0.0,0.0,241.0,40.0,4.0,0.0,1.0
Marcos Senesi,31.0,0.0,0.0,150.0,0.0,6.0,2.0,10.0
Marcus Coco,36.0,2.0,1.0,331.0,32.0,1.0,0.0,0.0
Marcus Müller,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Marcus Pedersen,13.0,1.0,0.0,89.0,13.0,0.0,0.0,1.0
Marcus Rashford,22.0,1.0,0.0,157.0,121.0,1.0,0.0,1.0
Marcus Tavernier,22.0,1.0,0.0,176.0,14.0,0.0,0.0,2.0
Marcus Thuram,24.0,3.0,0.0,297.0,110.0,1.0,0.0,1.0
Mariano,14.0,0.0,0.0,71.0,63.0,0.0,0.0,0.0
Marin Pongračić,33.0,5.0,3.0,162.0,0.0,1.0,1.0,2.0
Mario Gila,4.0,1.0,1.0,22.0,1.0,0.0,0.0,0.0
Mario Götze,26.0,2.0,1.0,310.0,36.0,1.0,0.0,1.0
Mario Hermoso,52.0,5.0,3.0,209.0,12.0,3.0,4.0,5.0
Mario Lemina,53.0,5.0,3.0,333.0,14.0,0.0,0.0,6.0
Mario Pašalić,40.0,0.0,0.0,246.0,22.0,0.0,1.0,3.0
Marius Bülter,15.0,1.0,1.0,144.0,33.0,1.0,0.0,1.0
Marius Wolf,25.0,2.0,1.0,141.0,17.0,2.0,0.0,2.0
Mark O'Mahony,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Mark Uth,41.0,0.0,0.0,301.0,73.0,0.0,0.0,0.0
Marko Arnautović,52.0,4.0,0.0,436.0,133.0,1.0,0.0,0.0
Marko Mladenović,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marley Aké,9.0,0.0,0.0,44.0,5.0,0.0,0.0,0.0
Marnon Busch,23.0,3.0,1.0,164.0,0.0,2.0,0.0,2.0
Marquinhos,24.0,2.0,0.0,170.0,8.0,1.0,1.0,9.0
Marshall Munetsi,28.0,1.0,0.0,198.0,9.0,1.0,0.0,7.0
Marten de Roon,114.0,10.0,2.0,800.0,9.0,5.0,1.0,1.0
Martin Erlic,20.0,1.0,0.0,32.0,0.0,2.0,0.0,1.0
Martin Hongla,32.0,3.0,2.0,115.0,6.0,1.0,0.0,3.0
Martin Satriano,13.0,0.0,0.0,52.0,9.0,0.0,0.0,0.0
Martin Terrier,10.0,2.0,0.0,160.0,44.0,0.0,0.0,0.0
Martin Valjent,51.0,3.0,0.0,154.0,8.0,7.0,0.0,4.0
Martin Ødegaard,18.0,0.0,0.0,160.0,8.0,2.0,0.0,3.0
Martin Šviderský,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martín Pascual,16.0,2.0,1.0,43.0,3.0,3.0,0.0,1.0
Martín Payero,9.0,1.0,0.0,24.0,0.0,2.0,0.0,0.0
Martín Zubimendi,30.0,0.0,0.0,171.0,4.0,1.0,0.0,5.0
Marvelous Nakamba,40.0,2.0,1.0,262.0,0.0,2.0,0.0,7.0
Marvin,9.0,0.0,0.0,59.0,7.0,2.0,0.0,2.0
Marvin Cuni,9.0,1.0,0.0,25.0,6.0,0.0,0.0,0.0
Marvin Ducksch,36.0,0.0,0.0,85.0,116.0,0.0,0.0,1.0
Marvin Friedrich,24.0,4.0,3.0,148.0,3.0,3.0,1.0,0.0
Marvin Mehlem,42.0,0.0,0.0,226.0,50.0,1.0,0.0,3.0
Marvin Pieringer,19.0,1.0,1.0,140.0,25.0,0.0,0.0,0.0
Marvin Senaya,14.0,1.0,1.0,76.0,2.0,1.0,0.0,1.0
Masaya Okugawa,9.0,0.0,0.0,86.0,65.0,0.0,0.0,0.0
Mason Burstow,3.0,0.0,0.0,23.0,8.0,0.0,0.0,0.0
Mason Greenwood,9.0,1.0,0.0,84.0,13.0,0.0,0.0,1.0
Mason Holgate,45.0,5.0,2.0,154.0,5.0,1.0,1.0,6.0
Mason Mount,24.0,0.0,0.0,224.0,16.0,0.0,0.0,1.0
Massadio Haïdara,38.0,1.0,0.0,271.0,13.0,2.0,0.0,4.0
Massimo Coda,32.0,2.0,1.0,269.0,177.0,0.0,0.0,2.0
Matej Maglica,20.0,2.0,0.0,68.0,2.0,1.0,1.0,5.0
Mateo Kovačić,48.0,2.0,0.0,205.0,1.0,0.0,0.0,5.0
Mateo Retegui,6.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0
Mateu Morey,2.0,0.0,0.0,18.0,2.0,0.0,0.0,1.0
Mateusz Wieteska,40.0,3.0,2.0,41.0,1.0,1.0,2.0,4.0
Mateusz Łęgowski,12.0,0.0,0.0,24.0,2.0,0.0,0.0,0.0
Matheus Cunha,28.0,0.0,0.0,165.0,20.0,2.0,0.0,1.0
Matheus França,1.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0
Matheus Henrique,15.0,1.0,1.0,61.0,3.0,0.0,0.0,7.0
Matheus Nunes,16.0,2.0,1.0,151.0,11.0,2.0,0.0,4.0
Mathias Honsak,10.0,0.0,0.0,126.0,57.0,0.0,0.0,0.0
Mathias Jensen,26.0,0.0,0.0,207.0,6.0,0.0,0.0,2.0
Mathias Jørgensen,66.0,3.0,0.0,206.0,8.0,3.0,2.0,6.0
Mathias Olesen,4.0,1.0,1.0,19.0,1.0,0.0,0.0,0.0
Mathias Pereira Lage,20.0,0.0,0.0,241.0,21.0,1.0,0.0,0.0
Mathys Tel,4.0,0.0,0.0,35.0,7.0,0.0,0.0,0.0
Mathías Olivera,35.0,2.0,2.0,163.0,12.0,2.0,0.0,1.0
Matias Arezo,3.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0
Matija Nastasić,48.0,2.0,1.0,248.0,5.0,6.0,0.0,2.0
Matondo-Merveille Papela,21.0,1.0,1.0,34.0,1.0,0.0,0.0,0.0
Mats Hummels,55.0,3.0,1.0,308.0,15.0,6.0,1.0,8.0
Mats Lemmens,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Dibley-Dias,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Matt Doherty,38.0,4.0,2.0,267.0,19.0,2.0,1.0,4.0
Matt Ritchie,68.0,0.0,0.0,464.0,5.0,2.0,1.0,3.0
Matt Targett,22.0,0.0,0.0,118.0,2.0,2.0,1.0,3.0
Matteo Cancellieri,12.0,0.0,0.0,51.0,19.0,1.0,0.0,0.0
Matteo Darmian,57.0,2.0,0.0,294.0,12.0,4.0,0.0,1.0
Matteo Gabbia,15.0,0.0,0.0,51.0,0.0,0.0,0.0,1.0
Matteo Lovato,16.0,1.0,0.0,75.0,0.0,5.0,0.0,4.0
Matteo Perez Vinlöf,5.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0
Matteo Pessina,24.0,1.0,1.0,150.0,13.0,1.0,0.0,5.0
Matteo Politano,30.0,2.0,0.0,131.0,22.0,0.0,0.0,2.0
Matteo Prati,9.0,0.0,0.0,41.0,3.0,0.0,0.0,3.0
Matteo Ruggeri,7.0,0.0,0.0,36.0,3.0,1.0,0.0,0.0
Matthew Whittingham,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matthias Bader,24.0,1.0,1.0,130.0,3.0,3.0,1.0,3.0
Matthias Ginter,28.0,0.0,0.0,185.0,11.0,1.0,1.0,8.0
Matthieu Udol,12.0,1.0,0.0,106.0,2.0,3.0,0.0,1.0
Matthijs de Ligt,35.0,1.0,1.0,188.0,7.0,7.0,1.0,4.0
Matthis Abline,4.0,0.0,0.0,40.0,10.0,0.0,0.0,0.0
Mattia Aramu,32.0,3.0,1.0,140.0,32.0,1.0,0.0,0.0
Mattia Caldara,36.0,2.0,0.0,126.0,9.0,2.0,1.0,4.0
Mattia De Sciglio,27.0,5.0,0.0,198.0,3.0,3.0,0.0,2.0
Mattia Destro,59.0,1.0,0.0,426.0,98.0,1.0,0.0,0.0
Mattia Viti,3.0,1.0,1.0,28.0,1.0,1.0,2.0,1.0
Mattia Zaccagni,45.0,1.0,0.0,223.0,42.0,1.0,0.0,2.0
Mattias Svanberg,37.0,1.0,1.0,214.0,8.0,0.0,0.0,4.0
Matty Cash,45.0,1.0,1.0,261.0,20.0,6.0,1.0,2.0
Mattéo Guendouzi,38.0,2.0,0.0,171.0,1.0,1.0,1.0,7.0
Matìas Soulé,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Matías Vecino,58.0,1.0,0.0,365.0,13.0,0.0,0.0,1.0
Matías Viña,4.0,0.0,0.0,32.0,2.0,0.0,2.0,0.0
Matúš Bero,63.0,3.0,3.0,368.0,14.0,3.0,0.0,1.0
Mauro Arambarri,60.0,3.0,3.0,350.0,2.0,2.0,2.0,2.0
Mauro Bandeira,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Aarons,41.0,0.0,0.0,142.0,19.0,3.0,1.0,6.0
Max Finkgräfe,4.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0
Max Kilman,19.0,0.0,0.0,96.0,2.0,3.0,0.0,8.0
Max Lowe,18.0,1.0,0.0,133.0,8.0,2.0,1.0,0.0
Max Rosenfelder,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Scholze,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maxence Caqueret,14.0,1.0,1.0,153.0,6.0,1.0,0.0,6.0
Maxence Lacroix,19.0,6.0,2.0,129.0,1.0,5.0,1.0,1.0
Maxi Gómez,43.0,3.0,3.0,336.0,174.0,0.0,0.0,0.0
Maxim Dal,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maxim Leitsch,14.0,0.0,0.0,59.0,1.0,2.0,1.0,7.0
Maxime Busi,18.0,0.0,0.0,108.0,2.0,3.0,0.0,0.0
Maxime Colin,46.0,0.0,0.0,313.0,9.0,1.0,1.0,1.0
Maxime Estève,14.0,0.0,0.0,59.0,0.0,0.0,2.0,0.0
Maxime Gonalons,79.0,5.0,0.0,599.0,2.0,3.0,0.0,4.0
Maxime Lopez,46.0,1.0,0.0,179.0,2.0,0.0,0.0,3.0
Maximilian Bauer,34.0,3.0,1.0,102.0,2.0,3.0,1.0,2.0
Maximilian Beier,10.0,0.0,0.0,90.0,31.0,0.0,0.0,1.0
Maximilian Breunig,15.0,0.0,0.0,38.0,1.0,0.0,0.0,0.0
Maximilian Eggestein,38.0,0.0,0.0,257.0,8.0,3.0,0.0,2.0
Maximilian Mittelstädt,28.0,3.0,2.0,142.0,4.0,5.0,0.0,1.0
Maximilian Philipp,23.0,0.0,0.0,181.0,35.0,0.0,0.0,0.0
Maximilian Wittek,72.0,2.0,0.0,346.0,11.0,1.0,0.0,2.0
Maximilian Wöber,25.0,1.0,1.0,146.0,13.0,1.0,1.0,2.0
Maximiliano Caufriez,52.0,10.0,5.0,249.0,10.0,6.0,2.0,3.0
Maxwel Cornet,18.0,2.0,1.0,147.0,66.0,0.0,1.0,3.0
Mehdi Bourabia,56.0,11.0,5.0,220.0,6.0,4.0,2.0,0.0
Mehdi Zeffane,12.0,0.0,0.0,75.0,8.0,0.0,0.0,1.0
Melvin Bard,17.0,2.0,0.0,102.0,4.0,2.0,0.0,2.0
Memphis,25.0,1.0,0.0,247.0,64.0,0.0,0.0,0.0
Mergim Berisha,21.0,1.0,1.0,214.0,107.0,1.0,0.0,0.0
Merlin Röhl,20.0,1.0,0.0,70.0,5.0,0.0,0.0,1.0
Mert Kömür,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Micah Hamilton,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Amir Murillo,20.0,2.0,0.0,105.0,25.0,1.0,0.0,5.0
Michael Folorunsho,30.0,1.0,1.0,196.0,26.0,1.0,0.0,3.0
Michael Gregoritsch,42.0,0.0,0.0,221.0,62.0,0.0,0.0,0.0
Michael Kayode,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Obafemi,13.0,1.0,0.0,55.0,24.0,0.0,0.0,0.0
Michael Olise,13.0,0.0,0.0,96.0,18.0,1.0,0.0,1.0
Michail Antonio,51.0,3.0,2.0,479.0,96.0,2.0,0.0,1.0
Michel Aebischer,47.0,1.0,1.0,201.0,9.0,1.0,1.0,0.0
Micky van de Ven,17.0,0.0,0.0,71.0,2.0,3.0,0.0,3.0
Miguel Almirón,14.0,0.0,0.0,109.0,62.0,0.0,0.0,1.0
Miguel Gutiérrez,11.0,0.0,0.0,54.0,11.0,2.0,0.0,3.0
Miguel Ángel Rubio,20.0,1.0,1.0,60.0,7.0,1.0,0.0,2.0
Mihailo Ristić,19.0,1.0,0.0,90.0,1.0,1.0,0.0,0.0
Mihajlo Ilić,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mika Baur,17.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mika Màrmol,12.0,1.0,1.0,88.0,6.0,3.0,2.0,4.0
Mike Trésor,4.0,0.0,0.0,81.0,7.0,0.0,1.0,0.0
Mikel Merino,73.0,4.0,1.0,533.0,20.0,2.0,0.0,7.0
Mikel Oyarzabal,16.0,2.0,0.0,214.0,106.0,0.0,1.0,2.0
Mikel Vesga,47.0,2.0,2.0,287.0,0.0,3.0,1.0,8.0
Mikkel Damsgaard,15.0,2.0,1.0,107.0,10.0,1.0,0.0,1.0
Mikkel Desler,32.0,2.0,1.0,237.0,17.0,2.0,0.0,2.0
Mikkel Kaufmann,18.0,1.0,1.0,106.0,10.0,0.0,0.0,0.0
Milan Badelj,80.0,5.0,3.0,437.0,2.0,0.0,1.0,8.0
Milan Đurić,73.0,2.0,0.0,315.0,45.0,0.0,0.0,0.0
Milan Škriniar,30.0,4.0,2.0,288.0,4.0,4.0,4.0,8.0
Milos Kerkez,12.0,1.0,0.0,28.0,1.0,0.0,1.0,2.0
Miloš Pantović,12.0,1.0,0.0,82.0,25.0,2.0,0.0,3.0
Miloš Veljković,31.0,2.0,2.0,157.0,6.0,3.0,1.0,3.0
Milutin Osmajić,9.0,0.0,0.0,59.0,52.0,0.0,0.0,0.0
Mirko Marić,14.0,4.0,1.0,53.0,15.0,0.0,0.0,0.0
Mitchel Bakker,22.0,1.0,1.0,54.0,6.0,1.0,0.0,5.0
Mitchell Weiser,36.0,0.0,0.0,220.0,18.0,1.0,1.0,3.0
Modibo Sagnan,27.0,1.0,1.0,137.0,3.0,3.0,0.0,3.0
Mohamed Ali Cho,10.0,2.0,2.0,75.0,20.0,1.0,0.0,1.0
Mohamed Bamba,8.0,0.0,0.0,50.0,30.0,0.0,0.0,0.0
Mohamed Camara,28.0,1.0,0.0,157.0,0.0,0.0,0.0,1.0
