,Name,age,footed,height,weight,current_club,League,Tier,FW,MF,DF
1035,Jesper Lindstrøm,24.0,Right,180.0,63.0,Everton,Premier League,1,1,1,0
1036,Jessic Ngankam,24.0,Right,184.0,83.0,Hannover 96,2,2,1,0,0
1037,Jessy Deminguet,26.0,Left,178.0,73.0,Metz,Ligue 2,2,0,1,0
1038,Jesurun Rak Sakyi,21.0,Left,178.0,64.0,Sheffield Utd,Championship,2,1,1,0
1039,Jesus Vazquez,21.0,Left,182.0,77.0,Valencia,La Liga,1,0,0,1
1040,Jesús Areso,25.0,Right,182.0,,Osasuna,La Liga,1,0,0,1
1041,Jesús Corona,31.0,Right,173.0,62.0,Monterrey,Liga MX,1,1,1,1
1042,Jesús Navas,38.0,Right,172.0,59.0,Sevilla,La Liga,1,1,1,1
1043,Jesús Vallejo,27.0,Right,183.0,73.0,Granada,La Liga,1,0,0,1
1044,Jhoanner Chávez,22.0,,175.0,,Lens,Ligue 1,1,0,1,1
1045,Jhon Durán,20.0,Left,186.0,73.0,Aston Villa,Premier League,1,1,0,0
1046,Jhon Lucumí,26.0,Left,185.0,83.0,Bologna,Serie A,1,0,0,1
1047,Jhon Solis,19.0,,,,Girona,La Liga,1,0,1,0
1048,Jim Allevinah,29.0,Right,172.0,67.0,Clermont Foot,Ligue 1,1,1,1,1
1049,Jimmy Cabot,30.0,Right,164.0,59.0,Lens,Ligue 1,1,1,1,1
1050,Joachim Andersen,28.0,Right,190.0,74.0,Crystal Palace,Premier League,1,0,0,1
1051,Joakim Mæhle,27.0,Right,185.0,76.0,Wolfsburg,Bundesliga,1,0,1,1
1052,Joan Gonzàlez,22.0,Right,190.0,79.0,Lecce,Serie A,1,0,1,0
1053,Joan Jordán,30.0,Right,184.0,73.0,Sevilla,La Liga,1,0,1,0
1054,Joaquin Sosa,22.0,,189.0,82.0,CF Montréal,MLS,1,0,0,1
1055,Joaquín Correa,30.0,Right,188.0,77.0,Marseille,Ligue 1,1,1,1,0
1056,Joe Gardner,19.0,,,,Nottingham Forest,PL2,6,0,0,1
1057,Joe Gomez,27.0,Right,188.0,77.0,Liverpool,Premier League,1,0,0,1
1058,Joe Hugill,20.0,,,,Wigan Athletic,League One,3,1,0,0
1059,Joe Rothwell,29.0,Right,185.0,69.0,Leeds United,Championship,2,1,1,0
1060,Joe Scally,21.0,Right,179.0,74.0,Gladbach,Bundesliga,1,0,0,1
1061,Joe White,21.0,Left,186.0,73.0,Crewe Alexandra,League Two,4,0,1,0
1062,Joe Willock,25.0,Right,178.0,73.0,Newcastle Utd,Premier League,1,0,1,0
1063,Joe Worrall,27.0,Right,191.0,78.0,Burnley,Championship,2,0,0,1
1064,Joel Imasuen,19.0,,,,Werder Bremen,Bundesliga,1,1,0,0
1065,Joel Mvuka,21.0,Right,173.0,63.0,Lorient,Ligue 2,2,1,0,0
1066,Joel Ward,34.0,Right,188.0,82.0,Crystal Palace,Premier League,1,0,1,1
1067,Joelinton,28.0,Right,190.0,76.0,Newcastle Utd,Premier League,1,1,1,0
1068,Johan Gastien,36.0,Right,181.0,66.0,Clermont Foot,Ligue 2,2,0,1,0
1069,Johan Mojica,32.0,Left,182.0,66.0,Mallorca,La Liga,1,0,1,1
1070,Johan Vásquez,25.0,Left,182.0,72.0,Genoa,Serie A,1,0,0,1
1071,Johann Lepenant,21.0,Right,183.0,68.0,Nantes,Ligue 1,1,0,1,0
1072,John Brooks,,Left,193.0,78.0,Hoffenheim,Bundesliga,1,0,0,1
1073,John Egan,31.0,Right,185.0,87.0,Sheffield Utd,Premier League,1,0,0,1
1074,John Fleck,,Left,169.0,68.0,Blackburn,Championship,2,1,1,0
1075,John McGinn,29.0,Left,178.0,69.0,Aston Villa,Premier League,1,0,1,0
1076,John Mcatee,25.0,,,,Bolton,League One,3,1,1,0
1077,John Stones,30.0,Right,188.0,69.0,Manchester City,Premier League,1,0,0,1
1078,John-Kymani Gordon,21.0,,181.0,,Colchester Utd,League Two,4,1,1,0
1079,Johnny Cardoso,22.0,Right,183.0,78.0,Betis,La Liga,1,0,1,0
1080,Jon Aramburu,22.0,Right,175.0,73.0,Real Sociedad,La Liga,1,0,0,1
1081,Jon Guridi,29.0,Left,179.0,78.0,Alavés,La Liga,1,0,1,0
1082,Jon Karrikaburu,21.0,,183.0,82.0,Racing Sant,La Liga 2,2,1,0,0
1083,Jon Magunacelaya,24.0,,175.0,69.0,Real Sociedad,La Liga,1,0,1,0
1084,Jon Moncayola,26.0,Right,182.0,77.0,Osasuna,La Liga,1,0,1,0
1085,Jon Pacheco,23.0,Left,184.0,78.0,Real Sociedad,La Liga,1,0,0,1
1086,Jonas Föhrenbach,28.0,Left,185.0,78.0,Heidenheim,Bundesliga,1,0,0,1
1087,Jonas Hofmann,32.0,Right,176.0,69.0,Leverkusen,Bundesliga,1,1,1,0
1088,Jonas Martin,34.0,Right,182.0,69.0,Brest,Ligue 1,1,0,1,1
1089,Jonas Wind,25.0,Right,190.0,82.0,Wolfsburg,Bundesliga,1,1,1,0
1090,Jonathan Asp Jensen,18.0,,,,Bayern U19,U19 Bundesliga,6,0,1,0
1091,Jonathan Bamba,28.0,Right,175.0,72.0,Celta Vigo,La Liga,1,1,1,0
1092,Jonathan Burkardt,24.0,Right,181.0,76.0,Mainz 05,Bundesliga,1,1,1,0
1093,Jonathan Clauss,31.0,Right,178.0,68.0,Nice,Ligue 1,1,1,1,1
1094,Jonathan David,24.0,Right,180.0,73.0,Lille,Ligue 1,1,1,1,0
1095,Jonathan Gradit,31.0,Right,180.0,77.0,Lens,Ligue 1,1,0,0,1
1096,Jonathan Ikone,26.0,Left,175.0,68.0,Fiorentina,Serie A,1,1,1,0
