,Name,age,footed,height,weight,current_club,League,Tier,FW,MF,DF
1254,Kevin Vázquez,31.0,Right,173.0,72.0,Sporting Gijón,La Liga 2,2,0,0,1
1255,Khalil Fayad,20.0,,172.0,60.0,Montpellier,Ligue 1,1,0,1,0
1256,Khéphren Thuram,23.0,Right,191.0,82.0,Juventus,Serie A,1,0,1,0
1257,Kiano Dyer,17.0,,,,Chelsea,PL2,6,0,1,0
1258,Kieffer Moore,32.0,Right,196.0,83.0,Sheffield Utd,Championship,2,1,0,1
1259,Kieran Tierney,27.0,Left,178.0,69.0,Real Sociedad,La Liga,1,0,1,1
1260,Kieran Trippier,33.0,Right,178.0,66.0,Newcastle United,PL2,6,0,1,1
1261,Kike Barja,27.0,Right,178.0,68.0,Osasuna,La Liga,1,1,1,0
1262,Kike Pérez,27.0,Left,184.0,78.0,Valladolid,La Liga,1,0,1,0
1263,Kike Salas,22.0,Left,186.0,79.0,Sevilla,La Liga,1,0,0,1
1264,Kiko Femenía,33.0,Right,174.0,60.0,Villarreal,La Liga,1,1,1,1
1265,Kiké,34.0,Right,186.0,78.0,Alavés,La Liga,1,1,0,0
1266,Kilian Fischer,23.0,Both,182.0,78.0,Wolfsburg,Bundesliga,1,0,1,1
1267,Kiliann Sildillia,22.0,Right,186.0,71.0,Freiburg,Bundesliga,1,0,0,1
1268,Kim Min-jae,27.0,Right,188.0,78.0,Bayern Munich,Bundesliga,1,0,0,1
1269,Kingsley Coman,28.0,Right,178.0,71.0,Bayern Munich,Bundesliga,1,1,1,0
1270,Kingsley Ehizibue,29.0,Right,189.0,82.0,Udinese,Serie A,1,0,1,1
1271,Kirian Rodríguez,28.0,,,,Las Palmas,La Liga,1,0,1,0
1272,Kjell-Arik Wätjen,18.0,,,,Dortmund II,3,3,0,1,0
1273,Klaus Gjasula,34.0,Right,192.0,87.0,Darmstadt 98,2,2,0,1,1
1274,Ko Itakura,27.0,Right,186.0,82.0,Gladbach,Bundesliga,1,0,0,1
1275,Kobbie Mainoo,19.0,,175.0,,Manchester Utd,Premier League,1,0,1,0
1276,Koffi Djidji,,Right,184.0,71.0,Torino,Serie A,1,0,0,1
1277,Koffi Kouao,26.0,Right,,,Metz,Ligue 2,2,0,0,1
1278,Kofi Amoako,19.0,,,,Osnabrück,3,3,0,1,0
1279,Koke,32.0,Right,170.0,73.0,Atlético Madrid,La Liga,1,0,1,0
1280,Komnen Andrić,29.0,Both,189.0,81.0,Rijeka,HNL,1,1,0,0
1281,Koni De Winter,22.0,,188.0,73.0,Genoa,Serie A,1,0,0,1
1282,Konrad Laimer,27.0,Right,179.0,68.0,Bayern Munich,Bundesliga,1,0,1,1
1283,Konstantinos Mavropanos,26.0,Right,191.0,78.0,West Ham,Premier League,1,0,0,1
1284,Kostas Manolas,,Right,186.0,83.0,Salernitana,Serie A,1,0,0,1
1285,Kristian Pedersen,30.0,Left,191.0,83.0,Swansea City,Championship,2,0,1,1
1286,Kristian Sekularac,20.0,Right,185.0,67.0,Fulham,PL2,6,0,1,0
1287,Kristian Thorstvedt,25.0,Left,171.0,78.0,Sassuolo,Serie B,2,0,1,0
1288,Kristijan Jakić,27.0,Right,181.0,74.0,Augsburg,Bundesliga,1,0,1,1
1289,Kristjan Asllani,22.0,Right,179.0,68.0,Inter,Serie A,1,0,1,0
1290,Kristoffer Ajer,26.0,Right,196.0,83.0,Brentford,Premier League,1,0,1,1
1291,Krépin Diatta,25.0,Right,175.0,69.0,Monaco,Ligue 1,1,1,1,1
1292,Kurt Zouma,29.0,Right,190.0,92.0,West Ham,Premier League,1,0,0,1
1293,Kyle Walker,34.0,Right,178.0,73.0,Manchester City,Premier League,1,0,1,1
1294,Kylian Mbappé,25.0,Right,178.0,73.0,Real Madrid,La Liga,1,1,1,0
1295,Kévin Gameiro,,Right,172.0,68.0,Strasbourg,Ligue 1,1,1,0,0
1296,Kévin N'Doram,28.0,Right,184.0,76.0,Al Kholood Saudi Club,Saudi Professional League,1,0,1,1
1297,Kévin Van Den Kerkhof,28.0,Right,,,Metz,Ligue 1,1,0,1,1
1298,Lameck Banda,23.0,Both,169.0,68.0,Lecce,Serie A,1,1,0,0
1299,Lamine Camara,20.0,Right,173.0,64.0,Monaco,Ligue 1,1,0,1,0
1300,Lamine Diack,23.0,,,,Hatayspor,Süper Lig,1,0,1,0
1301,Lamine Yamal,17.0,Left,,,Barcelona,La Liga,1,1,0,0
1302,Largie Ramazani,23.0,Right,164.0,54.0,Leeds United,Championship,2,1,1,0
1303,Lassana Coulibaly,28.0,Right,183.0,77.0,Lecce,Serie A,1,1,1,0
1304,Lasse Wilhelm,21.0,,,,Saarbrücken,3,3,0,0,1
1305,Laurent Abergel,31.0,Right,170.0,64.0,Lorient,Ligue 2,2,0,1,1
1306,Lautaro Gianetti,30.0,Right,184.0,78.0,Udinese,Serie A,1,0,0,1
1307,Lautaro Martínez,27.0,Right,174.0,72.0,Inter,Serie A,1,1,0,0
1308,Layvin Kurzawa,,Left,182.0,74.0,Paris S-G,Ligue 1,1,0,0,1
1309,Lazar Samardzic,22.0,Left,184.0,78.0,Atalanta,Serie A,1,0,1,0
1310,Leander Dendoncker,29.0,Right,178.0,83.0,Napoli,Serie A,1,0,1,1
1311,Leandro Barreiro Martins,24.0,Right,174.0,64.0,Benfica,Primeira Liga,1,0,1,0
1312,Leandro Paredes,30.0,Right,182.0,74.0,Roma,Serie A,1,0,1,0
1313,Leandro Trossard,29.0,Right,172.0,60.0,Arsenal,Premier League,1,1,1,0
1314,Leart Paqarada,29.0,Left,184.0,76.0,Köln,2,2,0,1,1
1315,Lebo Mothiba,,Right,181.0,76.0,Strasbourg,Ligue 1,1,1,0,0
1316,Lee Jae-sung,32.0,Left,180.0,69.0,Mainz 05,Bundesliga,1,1,1,0
1317,Lee Kang-in,23.0,Left,173.0,63.0,Paris S-G,Ligue 1,1,1,1,0
1318,Leigh Kavanagh,20.0,,,,Brighton,PL2,6,0,0,1
1319,Lennard Maloney,24.0,Right,187.0,83.0,Heidenheim,Bundesliga,1,0,1,1
1320,Leny Yoro,18.0,,185.0,79.0,Lille,Ligue 1,1,0,0,1
1321,Leo Castledine,19.0,,,,Shrewsbury,League One,3,0,1,0
1322,Leo Skiri Østigård,24.0,Right,174.0,81.0,Rennes,Ligue 1,1,1,0,1
1323,Leon Bailey,27.0,Left,181.0,69.0,Aston Villa,Premier League,1,1,1,0
1324,Leon Goretzka,29.0,Right,189.0,78.0,Bayern Munich,Bundesliga,1,0,1,0
1325,Leon Opitz,19.0,,,,Werder Bremen,Bundesliga,1,0,1,0
1326,Leonardo Balerdi,25.0,Right,193.0,96.0,Marseille,Ligue 1,1,0,0,1
1327,Leonardo Bittencourt,30.0,Right,171.0,63.0,Werder Bremen,Bundesliga,1,1,1,0
1328,Leonardo Bonucci,,Right,191.0,82.0,Fenerbahçe,Süper Lig,1,0,0,1
1329,Leonardo Pavoletti,35.0,Right,186.0,78.0,Cagliari,Serie A,1,1,0,0
1330,Leonardo Spinazzola,31.0,Right,186.0,74.0,Napoli,Serie A,1,0,1,1
1331,Leonidas Stergiou,22.0,,180.0,69.0,Stuttgart,Bundesliga,1,0,0,1
1332,Leroy Sané,28.0,Left,184.0,73.0,Bayern Munich,Bundesliga,1,1,1,0
1333,Lesley Ugochukwu,20.0,Right,188.0,83.0,Chelsea,Premier League,1,0,1,0
1334,Levi Colwill,21.0,,187.0,74.0,Chelsea,Premier League,1,0,0,1
1335,Levi Laing,21.0,,,,Cheltenham,League Two,4,0,0,1
1336,Lewis Cook,27.0,Right,175.0,69.0,Bournemouth,Premier League,1,0,1,0
1337,Lewis Dobbin,21.0,Right,175.0,63.0,West Brom,Championship,2,0,1,0
1338,Lewis Dunk,32.0,Right,192.0,87.0,Brighton,Premier League,1,0,0,1
1339,Lewis Ferguson,25.0,,181.0,74.0,Bologna,Serie A,1,0,1,0
1340,Lewis Hall,20.0,,179.0,72.0,Newcastle Utd,Premier League,1,0,1,1
1341,Lewis Koumas,18.0,,,,Stoke City,Championship,2,0,1,0
1342,Lewis Miley,18.0,,,,Newcastle Utd,Premier League,1,0,1,0
1343,Lewis O'Brien,25.0,Left,173.0,62.0,LAFC,MLS,2,0,1,0
1344,Lewis Warrington,21.0,,182.0,,Leyton Orient,League One,3,0,1,0
1345,Liam Henderson,28.0,Right,183.0,78.0,Empoli,Serie A,1,0,1,0
1346,Liberato Cacace,23.0,Left,184.0,77.0,Empoli,Serie A,1,0,1,1
1347,Lilian Brassier,24.0,Left,184.0,78.0,Marseille,Ligue 1,1,0,0,1
1348,Lilian Egloff,,Right,183.0,79.0,Stuttgart,Bundesliga,1,0,1,0
1349,Linton Maina,25.0,Right,173.0,69.0,Köln,2,2,1,1,0
1350,Lloyd Kelly,25.0,Left,181.0,68.0,Newcastle Utd,Premier League,1,0,0,1
1351,Logan Costa,23.0,Right,189.0,87.0,Villarreal,La Liga,1,0,0,1
1352,Lorenz Assignon,24.0,Right,179.0,67.0,Rennes,Ligue 1,1,0,0,1
1353,Lorenzo Amatucci,20.0,Right,,,Salernitana,Serie B,2,0,1,0
1354,Lorenzo Colombo,22.0,Left,183.0,74.0,Empoli,Serie A,1,1,0,0
1355,Lorenzo De Silvestri,36.0,Right,186.0,83.0,Bologna,Serie A,1,0,1,1
1356,Lorenzo Lucca,24.0,,201.0,79.0,Udinese,Serie A,1,1,0,0
1357,Lorenzo Pellegrini,28.0,Right,186.0,77.0,Roma,Serie A,1,0,1,0
1358,Lorenzo Pirola,22.0,,185.0,72.0,Olympiacos,Super League,1,0,0,1
1359,Lorenzo Venuti,29.0,Right,176.0,66.0,Sampdoria,Serie B,2,0,1,1
1360,Loris Mouyokolo,23.0,Right,193.0,81.0,Lorient,Ligue 1,1,0,0,1
1361,Loum Tchaouna,21.0,Left,,,Lazio,Serie A,1,1,1,0
1362,Lovro Majer,26.0,Left,176.0,74.0,Wolfsburg,Bundesliga,1,1,1,0
1363,Lovro Zvonarek,19.0,,,,Sturm Graz,Bundesliga,1,1,0,0
1364,Loïc Bade,24.0,Right,191.0,86.0,Sevilla,La Liga,1,0,0,1
1365,Loïc Nego,33.0,Right,181.0,63.0,Le Havre,Ligue 1,1,0,1,1
1366,Luc De Fougerolles,18.0,,,,Fulham,PL2,6,0,0,1
1367,Luca Barrington,19.0,,,,Grimsby Town,League Two,4,0,1,0
1368,Luca Caldirola,33.0,Left,189.0,74.0,Monza,Serie A,1,0,0,1
1369,Luca Garritano,30.0,Right,172.0,67.0,Frosinone,Serie B,2,1,1,0
1370,Luca Kilian,25.0,Right,192.0,89.0,Köln,Bundesliga,1,0,0,1
1371,Luca Koleosho,19.0,,175.0,69.0,Burnley,Championship,2,0,1,0
1372,Luca Mazzitelli,28.0,Right,184.0,76.0,Como,Serie A,1,0,1,1
1373,Luca Netz,21.0,Left,180.0,72.0,Gladbach,Bundesliga,1,0,1,1
1374,Luca Pellegrini,25.0,Left,184.0,72.0,Lazio,Serie A,1,0,0,1
1375,Luca Pfeiffer,28.0,Right,196.0,94.0,Karlsruher,2,2,1,0,0
1376,Luca Raimund,19.0,,,,Stuttgart,Bundesliga,1,0,1,0
1377,Luca Ranieri,25.0,Left,187.0,73.0,Fiorentina,Serie A,1,0,0,1
1378,Luca Waldschmidt,28.0,Left,177.0,60.0,Köln,2,2,1,1,0
1379,Luca de la Torre,26.0,Both,175.0,72.0,Celta Vigo,La Liga,1,0,1,0
1380,Lucas,23.0,Left,,,Burnley,Championship,2,0,0,1
1381,Lucas Beltrán,23.0,,,,Fiorentina,Serie A,1,1,0,0
1382,Lucas Beraldo,20.0,Right,182.0,77.0,Paris S-G,Ligue 1,1,0,0,1
1383,Lucas Boyé,28.0,Right,179.0,81.0,Granada,La Liga 2,2,1,0,0
1384,Lucas Digne,31.0,Left,178.0,73.0,Aston Villa,Premier League,1,0,1,1
1385,Lucas Hernández,28.0,Left,183.0,76.0,Paris S-G,Ligue 1,1,0,0,1
1386,Lucas Höler,30.0,Right,184.0,79.0,Freiburg,Bundesliga,1,1,1,0
1387,Lucas Martínez Quarta,28.0,Right,181.0,74.0,Fiorentina,Serie A,1,0,1,1
1388,Lucas Ocampos,30.0,Right,187.0,83.0,Sevilla,La Liga,1,1,1,0
1389,Lucas Paquetá,27.0,Left,180.0,72.0,West Ham,Premier League,1,1,1,0
1390,Lucas Perrin,25.0,Right,187.0,71.0,Strasbourg,Ligue 1,1,0,0,1
1391,Lucas Robertone,27.0,Right,175.0,69.0,Almería,La Liga 2,2,0,1,0
1392,Lucas Torró,30.0,Right,188.0,77.0,Osasuna,La Liga,1,0,1,0
1393,Lucas Tousart,27.0,Right,185.0,83.0,Union Berlin,Bundesliga,1,0,1,0
1394,Lucas Vázquez,33.0,Right,173.0,73.0,Real Madrid,La Liga,1,1,1,1
1395,Lucien Agoume,22.0,Right,185.0,81.0,Sevilla,La Liga,1,0,1,0
1396,Ludovic Ajorque,30.0,Left,197.0,82.0,Brest,Ligue 1,1,1,0,0
1397,Ludovic Blas,26.0,Left,180.0,69.0,Rennes,Ligue 1,1,1,1,0
1398,Luigi Canotto,30.0,Right,,,Frosinone,Serie A,1,1,1,0
1399,Luis Alberto,31.0,Right,182.0,73.0,Lazio,Serie A,1,1,1,0
1400,Luis Díaz,27.0,Right,180.0,72.0,Liverpool,Premier League,1,1,1,0
1401,Luis Henrique,22.0,Right,181.0,69.0,Marseille,Ligue 1,1,1,1,0
1402,Luis Javier Suárez,26.0,Right,185.0,83.0,Almería,La Liga 2,2,1,0,0
1403,Luis Milla,29.0,Right,175.0,73.0,Getafe,La Liga,1,0,1,0
1404,Luis Muriel,33.0,Right,178.0,78.0,Orlando City,MLS,1,1,0,0
1405,Luis Rioja,30.0,Left,173.0,64.0,Valencia,La Liga,1,1,1,0
1406,Luis Sinisterra,25.0,Right,172.0,64.0,Bournemouth,Premier League,1,1,1,0
1407,Luiz Felipe,27.0,Right,187.0,81.0,Al-Ittihad,Saudi Professional League,1,0,0,1
1408,Luiz Henrique,23.0,Left,182.0,77.0,Botafogo (RJ),Série A,1,1,1,0
1409,Luka Janes,20.0,,,,Heidenheim U19,U19 Bundesliga,6,0,1,0
1410,Luka Jović,26.0,Right,181.0,74.0,Milan,Serie A,1,1,0,0
1411,Luka Modrić,38.0,Right,174.0,64.0,Real Madrid,La Liga,1,0,1,0
1412,Lukas Daschner,25.0,Both,177.0,76.0,Bochum,Bundesliga,1,1,1,0
1413,Lukas Klostermann,28.0,Right,189.0,83.0,RB Leipzig,Bundesliga,1,0,1,1
1414,Lukas Kübler,32.0,Right,183.0,72.0,Freiburg,Bundesliga,1,0,1,1
1415,Lukas Nmecha,25.0,Right,185.0,68.0,Wolfsburg,Bundesliga,1,1,0,0
1416,Lukas Ullrich,20.0,,,,Gladbach,Bundesliga,1,0,0,1
1417,Luke Berry,32.0,Right,175.0,72.0,Charlton Ath,League One,3,0,1,0
1418,Luke Chambers,20.0,,,,Wigan Athletic,League One,3,0,0,1
1419,Luke Harris,19.0,,177.0,63.0,Birmingham City,League One,3,0,1,0
1420,Luke Plange,21.0,,178.0,,Carlisle United,League One,3,1,0,0
1421,Luke Shaw,29.0,Left,185.0,74.0,Manchester Utd,Premier League,1,0,1,1
1422,Luke Thomas,23.0,Left,181.0,73.0,Middlesbrough,Championship,2,0,1,1
1423,Lyle Foster,24.0,Right,185.0,78.0,Burnley,Championship,2,1,0,0
1424,Lázaro,22.0,Right,181.0,67.0,Palmeiras,Série A,1,1,1,0
1425,Léo Baptistão,32.0,Right,181.0,71.0,Almería,La Liga 2,2,1,1,0
1426,Léo Leroy,24.0,Right,185.0,78.0,Basel,Super Lg,1,0,1,0
1427,M'Bala Nzola,28.0,Left,185.0,79.0,Fiorentina,Serie A,1,1,1,0
1428,M'Baye Niang,,Right,184.0,74.0,Adana Demirspor,Süper Lig,1,1,1,0
1429,Mackenzie Hunt,22.0,,,,Fleetwood Town,League Two,4,0,0,1
1430,Mads Juel Andersen,26.0,,194.0,78.0,Luton Town,Premier League,1,0,0,1
1431,Mads Pedersen,28.0,Left,180.0,73.0,Augsburg,Bundesliga,1,0,1,1
1432,Mads Roerslev,25.0,Right,184.0,74.0,Brentford,Premier League,1,0,1,1
1433,Maghnes Akliouche,22.0,Left,175.0,63.0,Monaco,Ligue 1,1,0,1,0
1434,Mahdi Camara,26.0,Right,178.0,59.0,Brest,Ligue 1,1,0,1,0
1435,Mahmoud Dahoud,28.0,Right,176.0,67.0,Brighton,Premier League,1,0,1,0
1436,Mahmut Kücüksahin,20.0,,,,Augsburg,Bundesliga,1,0,0,1
1437,Malcolm Ebiowei,21.0,Left,185.0,,RWD Molenbeek,Pro League A,1,0,1,0
1438,Malick Fofana,19.0,Left,,,Lyon,Ligue 1,1,0,1,1
1439,Malick Thiaw,23.0,Right,185.0,79.0,Milan,Serie A,1,0,1,1
1440,Malo Gusto,21.0,Right,179.0,66.0,Chelsea,Premier League,1,0,0,1
1441,Mama Samba Baldé,28.0,Right,176.0,69.0,Lyon,Ligue 1,1,1,1,0
1442,Mamadou Mbaye,26.0,Left,194.0,88.0,Cádiz,La Liga,1,0,0,1
1443,Mamadou Sakho,34.0,Left,188.0,83.0,Montpellier,Ligue 1,1,0,0,1
1444,Mamadou Sylla,30.0,Right,184.0,79.0,Valladolid,La Liga,1,1,0,0
1445,Mamady Bangré,23.0,,171.0,64.0,Grenoble,Ligue 2,2,0,1,0
1446,Manor Solomon,25.0,Right,170.0,68.0,Leeds United,Championship,2,1,1,0
1447,Manu Koné,23.0,Right,181.0,72.0,Roma,Serie A,1,0,1,0
1448,Manu Morlanes,25.0,Right,178.0,74.0,Mallorca,La Liga,1,0,1,0
1449,Manu Sánchez,24.0,Left,179.0,71.0,Alavés,La Liga,1,0,0,1
1450,Manu Trigueros,32.0,Right,178.0,69.0,Granada,La Liga 2,2,0,1,0
1451,Manu Vallejo,27.0,Right,167.0,63.0,Racing Ferrol,La Liga 2,2,1,1,0
1452,Manuel Akanji,29.0,Right,187.0,84.0,Manchester City,Premier League,1,0,1,1
1453,Manuel Gulde,33.0,Right,179.0,74.0,Freiburg,Bundesliga,1,0,0,1
1454,Manuel Lazzari,30.0,Right,174.0,67.0,Lazio,Serie A,1,0,1,1
1455,Manuel Locatelli,26.0,Right,186.0,74.0,Juventus,Serie A,1,0,1,0
1456,Manuel Ugarte Ribeiro,23.0,,182.0,73.0,Paris S-G,Ligue 1,1,0,1,0
1457,Marash Kumbulla,24.0,Right,191.0,86.0,Espanyol,La Liga,1,0,0,1
1458,Marc Bartra,33.0,Right,183.0,69.0,Betis,La Liga,1,0,0,1
1459,Marc Cardona,29.0,Right,,,Las Palmas,La Liga,1,1,0,0
1460,Marc Cucurella,26.0,Left,175.0,68.0,Chelsea,Premier League,1,0,1,1
1461,Marc Guéhi,24.0,Right,182.0,82.0,Crystal Palace,Premier League,1,0,0,1
1462,Marc Roca,27.0,Left,184.0,73.0,Betis,La Liga,1,0,1,0
1463,Marcel Sabitzer,30.0,Right,176.0,69.0,Dortmund,Bundesliga,1,1,1,0
1464,Marcin Listkowski,26.0,,178.0,68.0,Jagiellonia,Ekstraklasa,1,1,1,0
1465,Marco Asensio,28.0,Left,178.0,69.0,Paris S-G,Ligue 1,1,1,1,0
1466,Marco Brescianini,24.0,Left,,,Atalanta,Serie A,1,0,1,0
1467,Marco Friedl,26.0,Left,186.0,71.0,Werder Bremen,Bundesliga,1,0,0,1
1468,Marco Mancosu,,Right,180.0,77.0,Cagliari,Serie A,1,0,1,0
1469,Marco Reus,35.0,Right,180.0,71.0,LA Galaxy,MLS,1,1,1,0
1470,Marco Richter,26.0,Right,176.0,73.0,Hamburger SV,2,2,1,1,0
1471,Marcos Acuña,32.0,Left,172.0,73.0,River Plate,Liga Argentina,1,0,1,1
1472,Marcos Alonso,33.0,Left,188.0,84.0,Barcelona,La Liga,1,0,1,1
1473,Marcos Llorente,29.0,Right,182.0,71.0,Atlético Madrid,La Liga,1,1,1,1
1474,Marcos Senesi,27.0,Left,184.0,78.0,Bournemouth,Premier League,1,0,0,1
1475,Marcus Coco,28.0,Right,180.0,74.0,Nantes,Ligue 1,1,1,1,1
1476,Marcus Müller,22.0,,,,Mainz 05,Bundesliga,1,1,0,0
1477,Marcus Pedersen,24.0,Right,178.0,76.0,Torino,Serie A,1,0,0,1
1478,Marcus Rashford,26.0,Right,180.0,69.0,Manchester Utd,Premier League,1,1,1,0
1479,Marcus Tavernier,25.0,Left,176.0,68.0,Bournemouth,Premier League,1,1,1,0
1480,Marcus Thuram,27.0,Right,189.0,78.0,Inter,Serie A,1,1,1,0
1481,Mariano,,Right,181.0,73.0,Sevilla,La Liga,1,1,0,0
1482,Marin Pongračić,27.0,Right,190.0,84.0,Fiorentina,Serie A,1,0,0,1
1483,Mario Gila,24.0,Right,185.0,73.0,Lazio,Serie A,1,0,0,1
1484,Mario Götze,32.0,Right,176.0,71.0,Eint Frankfurt,Bundesliga,1,1,1,0
1485,Mario Hermoso,,Left,181.0,68.0,Atlético Madrid,La Liga,1,0,0,1
1486,Mario Lemina,31.0,Right,183.0,83.0,Wolves,Premier League,1,0,1,1
1487,Mario Pašalić,29.0,Right,188.0,82.0,Atalanta,Serie A,1,1,1,0
1488,Marius Bülter,31.0,Right,188.0,82.0,Hoffenheim,Bundesliga,1,1,1,1
1489,Marius Wolf,29.0,Right,187.0,81.0,Augsburg,Bundesliga,1,1,1,1
1490,Mark O'Mahony,19.0,,,,Portsmouth,Championship,2,1,0,0
1491,Mark Uth,33.0,Left,185.0,68.0,Köln,2,2,1,1,0
1492,Marko Arnautović,35.0,Right,192.0,83.0,Inter,Serie A,1,1,1,0
1493,Marko Mladenović,19.0,,,,Eint Frankfurt,Bundesliga,1,0,1,0
1494,Marley Aké,23.0,Right,170.0,68.0,Yverdon-Sport,Super Lg,1,1,0,0
1495,Marnon Busch,29.0,Right,182.0,79.0,Heidenheim,Bundesliga,1,0,1,1
1496,Marquinhos,30.0,Right,183.0,74.0,Paris S-G,Ligue 1,1,0,1,1
1497,Marshall Munetsi,28.0,Right,187.0,82.0,Reims,Ligue 1,1,0,1,1
1498,Marten de Roon,33.0,Right,185.0,76.0,Atalanta,Serie A,1,0,1,1
1499,Martin Erlic,26.0,Right,192.0,78.0,Bologna,Serie A,1,0,0,1
1500,Martin Hongla,26.0,Right,183.0,78.0,Granada,La Liga 2,2,0,1,1
1501,Martin Satriano,23.0,Right,187.0,76.0,Lens,Ligue 1,1,1,0,0
1502,Martin Terrier,27.0,Right,183.0,81.0,Leverkusen,Bundesliga,1,1,1,0
1503,Martin Valjent,28.0,Right,186.0,78.0,Mallorca,La Liga,1,0,1,1
1504,Martin Ødegaard,25.0,Left,179.0,68.0,Arsenal,Premier League,1,1,1,0
1505,Martin Šviderský,21.0,,180.0,73.0,Manchester Utd,PL2 — Div,6,0,1,0
1506,Martín Pascual,25.0,,,,Ibiza,La Liga 2,2,0,0,1
1507,Martín Payero,26.0,Right,,,Udinese,Serie A,1,0,1,0
1508,Martín Zubimendi,25.0,Right,180.0,77.0,Real Sociedad,La Liga,1,0,1,0
1509,Marvelous Nakamba,30.0,Left,177.0,71.0,Luton Town,Premier League,1,0,1,0
1510,Marvin,24.0,Right,178.0,63.0,Las Palmas,La Liga,1,1,0,0
1511,Marvin Cuni,23.0,Right,188.0,79.0,Frosinone,Serie B,2,1,0,0
1512,Marvin Ducksch,30.0,Right,188.0,72.0,Werder Bremen,Bundesliga,1,1,0,0
1513,Marvin Friedrich,28.0,Right,193.0,78.0,Gladbach,Bundesliga,1,0,0,1
1514,Marvin Mehlem,27.0,Right,174.0,68.0,Hull City,Championship,2,1,1,0
1515,Marvin Pieringer,24.0,Right,189.0,81.0,Heidenheim,Bundesliga,1,1,0,0
1516,Marvin Senaya,23.0,Right,179.0,68.0,Strasbourg,Ligue 1,1,0,1,1
1517,Masaya Okugawa,28.0,Right,176.0,66.0,Hamburger SV,2,2,1,1,0
1518,Mason Burstow,21.0,,,,Hull City,Championship,2,1,0,0
1519,Mason Greenwood,22.0,Left,181.0,64.0,Marseille,Ligue 1,1,1,1,0
1520,Mason Holgate,27.0,Right,184.0,73.0,Everton,Premier League,1,0,0,1
1521,Mason Mount,25.0,Right,175.0,63.0,Manchester Utd,Premier League,1,0,1,0
1522,Massadio Haïdara,31.0,Left,179.0,69.0,Lens,Ligue 1,1,0,1,1
1523,Massimo Coda,35.0,Right,184.0,76.0,Sampdoria,Serie B,2,1,0,0
1524,Matej Maglica,25.0,Left,196.0,,Darmstadt 98,2,2,0,0,1
1525,Mateo Kovačić,30.0,Right,181.0,74.0,Manchester City,Premier League,1,0,1,0
1526,Mateo Retegui,25.0,,,,Atalanta,Serie A,1,1,0,0
1527,Mateu Morey,24.0,Right,173.0,67.0,Dortmund,Bundesliga,1,0,0,1
1528,Mateusz Wieteska,27.0,Right,187.0,77.0,Cagliari,Serie A,1,0,0,1
1529,Mateusz Łęgowski,21.0,,,,Salernitana,Serie A,1,0,1,0
1530,Matheus Cunha,25.0,Right,183.0,76.0,Wolves,Premier League,1,1,1,0
1531,Matheus França,20.0,,,,Crystal Palace,Premier League,1,1,0,0
1532,Matheus Henrique,26.0,Right,175.0,71.0,Cruzeiro,Série A,1,0,1,0
1533,Matheus Nunes,26.0,Right,183.0,78.0,Manchester City,Premier League,1,0,1,0
1534,Mathias Honsak,27.0,Left,188.0,78.0,Heidenheim,Bundesliga,1,1,1,0
1535,Mathias Jensen,28.0,Right,173.0,68.0,Brentford,Premier League,1,0,1,0
1536,Mathias Jørgensen,34.0,Right,191.0,78.0,Anderlecht,Pro League A,1,0,0,1
1537,Mathias Olesen,23.0,Right,176.0,71.0,Köln,2,2,0,1,0
1538,Mathias Pereira Lage,27.0,Right,180.0,67.0,Brest,Ligue 1,1,1,1,0
1539,Mathys Tel,19.0,,183.0,74.0,Bayern Munich,Bundesliga,1,1,0,0
1540,Mathías Olivera,26.0,Left,184.0,78.0,Napoli,Serie A,1,0,0,1
1541,Matias Arezo,21.0,,180.0,76.0,Grêmio,Série A,1,0,1,0
1542,Matija Nastasić,31.0,Left,187.0,79.0,Mallorca,La Liga,1,0,0,1
1543,Matondo-Merveille Papela,23.0,Right,174.0,69.0,Darmstadt 98,2,2,0,1,0
1544,Mats Hummels,35.0,Right,192.0,89.0,Dortmund,Bundesliga,1,0,0,1
1545,Mats Lemmens,22.0,Right,184.0,78.0,Calcio Lecco 1912,Serie B,2,0,0,1
1546,Matt Dibley-Dias,20.0,,171.0,,Northampton,League One,3,0,1,0
1547,Matt Doherty,32.0,Right,182.0,76.0,Wolves,Premier League,1,0,1,1
1548,Matt Ritchie,34.0,Left,173.0,71.0,Portsmouth,Championship,2,0,1,1
1549,Matt Targett,28.0,Left,178.0,69.0,Newcastle United,PL2,6,0,1,1
1550,Matteo Cancellieri,22.0,Left,173.0,62.0,Parma,Serie A,1,1,0,0
1551,Matteo Darmian,34.0,Right,182.0,69.0,Inter,Serie A,1,0,1,1
1552,Matteo Gabbia,24.0,Right,185.0,81.0,Milan,Serie A,1,0,0,1
1553,Matteo Lovato,24.0,Right,188.0,78.0,Sassuolo,Serie B,2,0,0,1
1554,Matteo Perez Vinlöf,18.0,,,,Austria Wien,Bundesliga,1,0,0,1
1555,Matteo Pessina,27.0,Left,183.0,74.0,Monza,Serie A,1,0,1,0
1556,Matteo Politano,31.0,Left,170.0,64.0,Napoli,Serie A,1,1,1,0
1557,Matteo Prati,20.0,,,,Cagliari,Serie A,1,0,1,0
1558,Matteo Ruggeri,22.0,Left,179.0,69.0,Atalanta,Serie A,1,0,1,1
1559,Matthew Whittingham,19.0,,,,Wolverhampton Wanderers,PL2,6,0,1,0
